week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0013879250520471894,0.0013879250520471894,0.002081887578070784,0.0,
2021-05-03,0.003875968992248062,0.003875968992248062,0.00516795865633075,0.0,
2021-05-10,0.006150061500615006,0.004920049200492005,0.00922509225092251,0.0,
2021-05-17,0.00909090909090909,0.004545454545454545,0.01818181818181818,0.0,
2021-05-24,0.015492957746478873,0.0035211267605633804,0.03943661971830986,0.0,
2021-05-31,0.02564102564102564,0.002772002772002772,0.06791406791406791,0.0,
2021-06-07,0.036458333333333336,0.005859375,0.09309895833333333,0.0,
2021-06-14,0.058207979071288427,0.011772400261608895,0.1327665140614781,0.0,
2021-06-21,0.09222994314592546,0.018951358180669616,0.21983575489576754,0.0,
2021-06-28,0.11206896551724138,0.02434077079107505,0.3509127789046653,0.0,
2021-07-05,0.10613207547169812,0.025550314465408806,0.46226415094339623,0.0,
2021-07-12,0.08929862617498192,0.02964569775849602,0.559291395516992,0.0,
2021-07-19,0.06914306730415594,0.03861713865391688,0.6660536962118426,0.0,
2021-07-26,0.05794460641399417,0.048833819241982504,0.7463556851311953,0.0,
2021-08-02,0.05569900405754334,0.059387679822943566,0.7912209516783475,0.0,
2021-08-09,0.045492142266335814,0.06947890818858561,0.8229942100909843,0.0,
2021-08-16,0.031800391389432484,0.07534246575342465,0.8507827788649707,0.0,
2021-08-23,0.0236784140969163,0.07709251101321586,0.8727973568281938,0.0,
2021-08-30,0.020347097546379412,0.0718132854578097,0.8898862956313585,0.0,
2021-09-06,0.02107409925220938,0.06254248810333107,0.9034670292318151,0.0,
2021-09-13,0.019417475728155338,0.052588996763754045,0.9166666666666666,0.0,
2021-09-20,0.011406844106463879,0.051330798479087454,0.9277566539923955,0.0,
2021-09-27,0.005296610169491525,0.059322033898305086,0.926906779661017,0.0,
2021-10-04,0.0023501762632197414,0.06580493537015276,0.9236192714453584,0.0,
2021-10-11,0.0013568521031207597,0.05970149253731343,0.9335142469470827,0.0,
2021-10-18,0.0,0.045454545454545456,0.9502840909090909,0.0,
2021-10-25,0.0,0.03758389261744966,0.959731543624161,0.0,
2021-11-01,0.0,0.03795811518324607,0.9607329842931938,0.0,
2021-11-08,0.0,0.040097205346294046,0.9574726609963548,0.0,
2021-11-15,0.0,0.040042149631190724,0.9578503688092729,0.0,
2021-11-22,0.0,0.035783365570599614,0.9584139264990329,0.0038684719535783366,
2021-11-29,0.0,0.03244274809160305,0.9379770992366412,0.02767175572519084,
2021-12-06,0.0,0.030881017257039057,0.8646684831970936,0.10354223433242507,
2021-12-13,0.0,0.02364864864864865,0.7246621621621622,0.25,
2021-12-20,0.0,0.01800327332242226,0.55810147299509,0.4230769230769231,
2021-12-27,0.0,0.012369172216936251,0.4100856327307326,0.576593720266413,
2022-01-03,0.0,0.007451564828614009,0.293591654247392,0.6974664679582713,
