week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0,0.0
2021-04-19,0.0,0.0,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0,0.0
2021-05-03,0.0,0.0,0.0,0.0,0.0
2021-05-10,0.0,0.0,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0
2021-06-07,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0
2021-06-14,0.0,0.05,0.025,0.0,0.0
2021-06-21,0.0,0.07272727272727272,0.01818181818181818,0.0,0.0
2021-06-28,0.0,0.08620689655172414,0.017241379310344827,0.0,0.0
2021-07-05,0.0,0.1276595744680851,0.06382978723404255,0.0,0.0
2021-07-12,0.0,0.20454545454545456,0.13636363636363635,0.0,0.0
2021-07-19,0.0,0.22727272727272727,0.18181818181818182,0.0,0.0
2021-07-26,0.0,0.3023255813953488,0.27906976744186046,0.0,0.0
2021-08-02,0.0,0.4489795918367347,0.32653061224489793,0.0,0.0
2021-08-09,0.0,0.6071428571428571,0.30357142857142855,0.0,0.0
2021-08-16,0.0,0.6545454545454545,0.3090909090909091,0.0,0.0
2021-08-23,0.0,0.6206896551724138,0.3275862068965517,0.0,0.0
2021-08-30,0.012048192771084338,0.5662650602409639,0.39759036144578314,0.0,0.0
2021-09-06,0.008928571428571428,0.5178571428571429,0.44642857142857145,0.0,0.0
2021-09-13,0.010101010101010102,0.46464646464646464,0.494949494949495,0.0,0.0
2021-09-20,0.0,0.4153846153846154,0.5538461538461539,0.0,0.0
2021-09-27,0.0,0.4,0.56,0.0,0.0
2021-10-04,0.017543859649122806,0.49122807017543857,0.45614035087719296,0.0,0.0
2021-10-11,0.014084507042253521,0.5492957746478874,0.38028169014084506,0.0,0.0
2021-10-18,0.015384615384615385,0.5230769230769231,0.4153846153846154,0.0,0.0
2021-10-25,0.0,0.5,0.46296296296296297,0.0,0.0
2021-11-01,0.0,0.46938775510204084,0.5306122448979592,0.0,0.0
2021-11-08,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0
2021-11-15,0.0,0.4666666666666667,0.5111111111111111,0.0,0.0
2021-11-22,0.0,0.42,0.56,0.0,0.0
2021-11-29,0.0,0.34375,0.625,0.0,0.0
2021-12-06,0.011904761904761904,0.32142857142857145,0.6309523809523809,0.011904761904761904,0.0
2021-12-13,0.021052631578947368,0.2736842105263158,0.6421052631578947,0.042105263157894736,0.0
2021-12-20,0.02197802197802198,0.21978021978021978,0.6263736263736264,0.10989010989010989,0.0
2021-12-27,0.014492753623188406,0.15942028985507245,0.5507246376811594,0.21739130434782608,0.0
