week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.00021645021645021645,0.0,0.0,0.0,0.0
2021-04-12,0.00025693730729701953,0.0,0.0,0.0,0.0
2021-04-19,0.0005561735261401557,0.00027808676307007786,0.00027808676307007786,0.0,0.0
2021-04-26,0.0005758710048949035,0.0005758710048949035,0.0005758710048949035,0.0,0.0
2021-05-03,0.0005699629524080935,0.0005699629524080935,0.0005699629524080935,0.0,0.0
2021-05-10,0.0005683432793407218,0.0017050298380221654,0.0011366865586814436,0.0,0.0
2021-05-17,0.0006095702529716549,0.004266991770801585,0.0024382810118866198,0.0,0.0
2021-05-24,0.000702000702000702,0.011583011583011582,0.005616005616005616,0.0,0.0
2021-05-31,0.0017376194613379669,0.036055603822762815,0.015638575152041704,0.0,0.0
2021-06-07,0.0050200803212851405,0.0928714859437751,0.045180722891566265,0.0,0.0
2021-06-14,0.008995502248875561,0.1504247876061969,0.08395802098950525,0.0,0.0
2021-06-21,0.01350621285791464,0.18638573743922204,0.12209616423554835,0.0,0.0
2021-06-28,0.01753202966958867,0.20903573836817263,0.19554956169925827,0.0,0.0
2021-07-05,0.018518518518518517,0.22302737520128824,0.3470209339774557,0.0,0.0
2021-07-12,0.017391304347826087,0.22608695652173913,0.5359683794466403,0.0,0.0
2021-07-19,0.014028056112224449,0.22110888443553775,0.6673346693386774,0.0,0.0
2021-07-26,0.011777902411665733,0.2153673583847448,0.730790802019069,0.0,0.0
2021-08-02,0.011251758087201125,0.20956399437412096,0.7618377871542429,0.0,0.0
2021-08-09,0.011850152905198776,0.19457186544342508,0.7863149847094801,0.0,0.0
2021-08-16,0.012295081967213115,0.1711065573770492,0.8131830601092896,0.0,0.0
2021-08-23,0.011644318983768526,0.14996471418489768,0.8359209597741708,0.0,0.0
2021-08-30,0.011128165771297006,0.13392171910974673,0.853031465848043,0.0,0.0
2021-09-06,0.010783907092492741,0.11986727498963086,0.8681045209456657,0.0,0.0
2021-09-13,0.009107468123861567,0.10473588342440801,0.8847905282331512,0.0,0.0
2021-09-20,0.006656426011264721,0.09062980030721966,0.9027137736815156,0.0,0.0
2021-09-27,0.003470213996529786,0.08502024291497975,0.9103528050896472,0.0,0.0
2021-10-04,0.001304631441617743,0.09328114807566862,0.903457273320287,0.0,0.0
2021-10-11,0.0006798096532970768,0.1053704962610469,0.8925900747790618,0.0,0.0
2021-10-18,0.0,0.11054421768707483,0.8883219954648526,0.0,0.0
2021-10-25,0.0,0.10231023102310231,0.8972182932578973,0.0,0.0
2021-11-01,0.0,0.08629661751951431,0.9124024284475282,0.0,0.0
2021-11-08,0.0,0.07346767422334173,0.9256926952141058,0.0,0.0
2021-11-15,0.0,0.06454282167976831,0.9346297062474141,0.0,0.0
2021-11-22,0.0,0.05533596837944664,0.9420289855072463,0.001756697408871322,0.0
2021-11-29,0.0,0.047901234567901234,0.9402469135802469,0.010864197530864197,0.0
2021-12-06,0.0,0.04567969179966978,0.9141441937259218,0.03852504127682994,0.000550357732526142
2021-12-13,0.0,0.04120879120879121,0.8392857142857143,0.11401098901098901,0.004120879120879121
2021-12-20,0.0,0.02629193109700816,0.6627379873073436,0.2883046237533998,0.02085222121486854
2021-12-27,0.0,0.012345679012345678,0.4382716049382716,0.5012345679012346,0.04691358024691358
