week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0013123359580052493,0.0,0.0,0.0,0.0
2021-04-19,0.002886836027713626,0.0,0.0005773672055427252,0.0,0.0
2021-04-26,0.0036997885835095136,0.0,0.0021141649048625794,0.0,0.0
2021-05-03,0.0037735849056603774,0.0,0.003234501347708895,0.0,0.0
2021-05-10,0.0024615384615384616,0.0006153846153846154,0.004923076923076923,0.0,0.0
2021-05-17,0.00145985401459854,0.00145985401459854,0.008759124087591242,0.0,0.0
2021-05-24,0.001710863986313088,0.001710863986313088,0.016253207869974338,0.0,0.0
2021-05-31,0.003205128205128205,0.004273504273504274,0.028846153846153848,0.0,0.0
2021-06-07,0.010218978102189781,0.0072992700729927005,0.05401459854014599,0.0,0.0
2021-06-14,0.02263374485596708,0.01440329218106996,0.09876543209876543,0.0,0.0
2021-06-21,0.03235294117647059,0.026470588235294117,0.17647058823529413,0.0,0.0
2021-06-28,0.030927835051546393,0.061855670103092786,0.3711340206185567,0.0,0.0
2021-07-05,0.021377672209026127,0.08788598574821853,0.6247030878859857,0.0,0.0
2021-07-12,0.01859229747675963,0.09694555112881806,0.7596281540504648,0.0,0.0
2021-07-19,0.015859766277128547,0.1010016694490818,0.820534223706177,0.0,0.0
2021-07-26,0.012954966070326958,0.1011721159777915,0.8500925354719309,0.0,0.0
2021-08-02,0.012999518536350506,0.0991815117958594,0.8623013962445836,0.0,0.0
2021-08-09,0.014432206608431447,0.09418913786555261,0.8731484998101026,0.0,0.0
2021-08-16,0.013598673300165837,0.08424543946932006,0.8918739635157545,0.0,0.0
2021-08-23,0.011375387797311272,0.07238883143743537,0.9110651499482937,0.0,0.0
2021-08-30,0.009207365892714172,0.06525220176140913,0.922738190552442,0.0,0.0
2021-09-06,0.007788836001730853,0.06231068801384682,0.927736910428386,0.0,0.0
2021-09-13,0.007114273010226767,0.057358826144953315,0.9341929746554024,0.0,0.0
2021-09-20,0.006551240056153486,0.05053813757604118,0.941974730931212,0.0,0.0
2021-09-27,0.00606366851945427,0.043961596766043456,0.9494694290045478,0.0,0.0
2021-10-04,0.004484304932735426,0.0397982062780269,0.9557174887892377,0.0,0.0
2021-10-11,0.0035335689045936395,0.03769140164899882,0.9575971731448764,0.0,0.0
2021-10-18,0.004805125467164976,0.03737319807794982,0.9562199679658302,0.0,0.0
2021-10-25,0.006533101045296167,0.03440766550522648,0.9564459930313589,0.0,0.0
2021-11-01,0.007176175098672408,0.030498744169357734,0.9587369931826336,0.0,0.0
2021-11-08,0.006020278833967047,0.027249683143219267,0.9632446134347274,0.0,0.0
2021-11-15,0.0036079374624173183,0.024954900781719785,0.9684305472038485,0.0006013229104028864,0.0
2021-11-22,0.00208955223880597,0.023880597014925373,0.9692537313432836,0.003880597014925373,0.0
2021-11-29,0.0018433179723502304,0.022119815668202765,0.9600614439324117,0.015053763440860216,0.0
2021-12-06,0.0019305019305019305,0.020913770913770915,0.9353281853281853,0.04118404118404118,0.0
2021-12-13,0.001816860465116279,0.019258720930232558,0.8702761627906976,0.10755813953488372,0.0
2021-12-20,0.0012970168612191958,0.01556420233463035,0.7310851707738867,0.25075659316904453,0.0
2021-12-27,0.0005827505827505828,0.011655011655011656,0.5600233100233101,0.4254079254079254,0.0
2022-01-03,0.0,0.008771929824561403,0.4243421052631579,0.5635964912280702,0.0
