week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.027522935779816515,0.0,0.0,0.0,
2021-05-10,0.07655502392344497,0.0,0.0,0.0,
2021-05-17,0.11371237458193979,0.0,0.0,0.0,
2021-05-24,0.11974110032362459,0.0,0.0,0.0,
2021-05-31,0.11553784860557768,0.0,0.00398406374501992,0.0,
2021-06-07,0.16216216216216217,0.0,0.021621621621621623,0.0,
2021-06-14,0.2958579881656805,0.0,0.03550295857988166,0.0,
2021-06-21,0.4022346368715084,0.0,0.0335195530726257,0.0,
2021-06-28,0.4716981132075472,0.0,0.031446540880503145,0.0,
2021-07-05,0.5514705882352942,0.0,0.051470588235294115,0.0,
2021-07-12,0.563953488372093,0.0,0.09302325581395349,0.0,
2021-07-19,0.5504201680672269,0.0,0.1134453781512605,0.0,
2021-07-26,0.5802469135802469,0.0,0.12757201646090535,0.0,
2021-08-02,0.6030927835051546,0.0,0.15979381443298968,0.0,
2021-08-09,0.5923566878980892,0.0,0.20382165605095542,0.0,
2021-08-16,0.5733333333333334,0.0,0.25333333333333335,0.0,
2021-08-23,0.5793103448275863,0.0,0.3103448275862069,0.0,
2021-08-30,0.5629139072847682,0.0,0.3708609271523179,0.0,
2021-09-06,0.5449438202247191,0.0,0.4101123595505618,0.0,
2021-09-13,0.5116279069767442,0.0,0.4511627906976744,0.0,
2021-09-20,0.44360902255639095,0.0037593984962406013,0.5300751879699248,0.0,
2021-09-27,0.3553008595988539,0.0057306590257879654,0.6217765042979942,0.0,
2021-10-04,0.2759433962264151,0.01179245283018868,0.6957547169811321,0.0,
2021-10-11,0.23404255319148937,0.027659574468085105,0.723404255319149,0.0,
2021-10-18,0.2080808080808081,0.050505050505050504,0.7272727272727273,0.0,
2021-10-25,0.18580375782881003,0.06263048016701461,0.7432150313152401,0.0,
2021-11-01,0.17839195979899497,0.05527638190954774,0.7613065326633166,0.0,
2021-11-08,0.18181818181818182,0.047021943573667714,0.7648902821316614,0.0,
2021-11-15,0.17375886524822695,0.05319148936170213,0.7659574468085106,0.0,
2021-11-22,0.15328467153284672,0.04744525547445255,0.7956204379562044,0.0,
2021-11-29,0.1365079365079365,0.03492063492063492,0.8158730158730159,0.0031746031746031746,
2021-12-06,0.1225071225071225,0.03133903133903134,0.8205128205128205,0.022792022792022793,
2021-12-13,0.08571428571428572,0.03428571428571429,0.78,0.09142857142857143,
2021-12-20,0.0547112462006079,0.03343465045592705,0.662613981762918,0.23708206686930092,
2021-12-27,0.041666666666666664,0.025,0.525,0.3958333333333333,
