week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.0,0.0,
2021-06-28,0.0,0.0,0.0,0.0,
2021-07-05,0.0,0.0,0.0,0.0,
2021-07-12,0.0,0.0,0.0,0.0,
2021-07-19,0.0,0.0,0.0,0.0,
2021-07-26,0.0,0.0,0.0,0.0,
2021-08-02,0.0,0.0,0.0,0.0,
2021-08-09,0.0,0.0,0.0,0.0,
2021-08-16,0.0,0.0,0.0,0.0,
2021-08-23,0.0,0.0,0.0,0.0,
2021-08-30,0.0,0.0,0.07692307692307693,0.0,
2021-09-06,0.0,0.0,0.13333333333333333,0.0,
2021-09-13,0.047619047619047616,0.0,0.14285714285714285,0.0,
2021-09-20,0.0,0.0,0.21739130434782608,0.0,
2021-09-27,0.0,0.0,0.35714285714285715,0.0,
2021-10-04,0.0,0.0,0.4878048780487805,0.0,
2021-10-11,0.0,0.0,0.6111111111111112,0.0,
2021-10-18,0.0,0.0,0.6935483870967742,0.0,
2021-10-25,0.0,0.0,0.7741935483870968,0.0,
2021-11-01,0.0,0.016666666666666666,0.85,0.0,
2021-11-08,0.0,0.0,0.9117647058823529,0.0,
2021-11-15,0.0,0.0,0.9594594594594594,0.0,
2021-11-22,0.0,0.0,0.9538461538461539,0.0,
2021-11-29,0.0,0.0,0.9464285714285714,0.0,
2021-12-06,0.0,0.0,0.9615384615384616,0.0,
2021-12-13,0.0,0.0,0.9523809523809523,0.023809523809523808,
2021-12-20,0.0,0.0,0.8888888888888888,0.07407407407407407,
