week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.001876172607879925,0.0,
2021-03-01,0.0,0.0,0.029982363315696647,0.0,
2021-03-08,0.0,0.0017452006980802793,0.13612565445026178,0.0,
2021-03-15,0.0019305019305019305,0.003861003861003861,0.2471042471042471,0.0,
2021-03-22,0.0,0.0027397260273972603,0.2136986301369863,0.0,
2021-03-29,0.0,0.0,0.04066985645933014,0.0,
2021-04-05,0.0,0.0,0.001851851851851852,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0028490028490028487,0.0,0.0,0.0,
2021-05-17,0.006289308176100628,0.0,0.0,0.0,
2021-05-24,0.010526315789473684,0.0,0.0,0.0,
2021-05-31,0.018518518518518517,0.0,0.018518518518518517,0.0,
2021-06-07,0.061855670103092786,0.010309278350515464,0.07731958762886598,0.0,
2021-06-14,0.1524822695035461,0.028368794326241134,0.19148936170212766,0.0,
2021-06-21,0.24947589098532494,0.031446540880503145,0.25366876310272535,0.0,
2021-06-28,0.4765625,0.02734375,0.23958333333333334,0.0,
2021-07-05,0.7203579418344519,0.01640566741237882,0.14168530947054436,0.0,
2021-07-12,0.7623421354764638,0.008610792192881744,0.07405281285878301,0.0,
2021-07-19,0.5796897038081805,0.009873060648801129,0.11918194640338504,0.0,
2021-07-26,0.2455621301775148,0.023076923076923078,0.3497041420118343,0.0,
2021-08-02,0.15611406476558723,0.019091348477525374,0.39681005316578055,0.0,
2021-08-09,0.1649269311064718,0.01056121822424168,0.4587989684391502,0.0,
2021-08-16,0.18023450586264655,0.004271356783919598,0.5760469011725293,0.0,
2021-08-23,0.17519265453353008,0.001557632398753894,0.6332185604197409,0.0,
2021-08-30,0.15791058256811683,0.0016558783682071353,0.661899744091525,0.0,
2021-09-06,0.0940279542566709,0.0063532401524777635,0.7911901736552308,0.0,
2021-09-13,0.016632016632016633,0.012474012474012475,0.9556479556479557,0.0,
2021-09-20,0.005479452054794521,0.0136986301369863,0.9789954337899544,0.0,
2021-09-27,0.006200177147918512,0.015943312666076175,0.9760850310008857,0.0,
2021-10-04,0.006583760058522311,0.014630577907827359,0.978054133138259,0.0,
2021-10-11,0.006081668114682885,0.01216333622936577,0.9800173761946134,0.0,
2021-10-18,0.0039946737683089215,0.010652463382157125,0.9826897470039947,0.0,
2021-10-25,0.00211864406779661,0.01059322033898305,0.9851694915254238,0.0,
2021-11-01,0.0018484288354898336,0.011090573012939002,0.9852125693160814,0.0,
2021-11-08,0.001098901098901099,0.00989010989010989,0.987912087912088,0.0,
2021-11-15,0.000881057268722467,0.007929515418502203,0.9894273127753304,0.0,
2021-11-22,0.0,0.009060955518945634,0.9892915980230642,0.0,
2021-11-29,0.0007530120481927711,0.012048192771084338,0.9864457831325302,0.0,
2021-12-06,0.0014587892049598833,0.011670313639679067,0.9832239241429613,0.0029175784099197666,
2021-12-13,0.0017079419299743809,0.010247651579846286,0.9675491033304867,0.018787361229718188,
2021-12-20,0.0009407337723424271,0.00940733772342427,0.9049858889934148,0.0799623706491063,
2021-12-27,0.0017346053772766695,0.006938421509106678,0.8048568950563747,0.17519514310494363,
