week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,7.518231711901361e-05,0.0,0.0
2021-01-11,0.0,0.0,0.0001195814648729447,0.0,0.0
2021-01-18,0.0,0.0,0.00010760208748049712,0.0,0.0
2021-01-25,0.0,0.0,5.3949072075960293e-05,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,5.357621216180016e-05,0.0,0.0
2021-03-01,0.0,0.0,5.1015202530354045e-05,0.0,0.0
2021-03-08,0.0,0.0,9.151642719868216e-05,0.0,0.0
2021-03-15,0.0,0.0,8.044405116241654e-05,0.0,0.0
2021-03-22,7.033090691704469e-05,3.5165453458522345e-05,7.033090691704469e-05,0.0,0.0
2021-03-29,0.00021541112752338748,9.231905465288036e-05,0.00018463810930576072,0.0,0.0
2021-04-05,0.0005454793399699986,0.00021819173598799945,0.0004363834719759989,0.0,0.0
2021-04-12,0.001303680981595092,0.00046012269938650307,0.0007924335378323109,0.0,0.0
2021-04-19,0.0026039632320391634,0.0009113871312137073,0.0016404968361846731,0.0,0.0
2021-04-26,0.004183166936248536,0.0016732667744994143,0.00351386022644877,0.0,0.0
2021-05-03,0.005580492539124105,0.0027902462695620525,0.006096081523717094,0.0,0.0
2021-05-10,0.006784496555563287,0.0042794516735091504,0.00960267204787419,0.0,0.0
2021-05-17,0.008025197393968158,0.0065150796047806015,0.016050394787936316,0.0,0.0
2021-05-24,0.010539961672866645,0.01020178108443242,0.03015443580205163,0.0,0.0
2021-05-31,0.01650925857068491,0.017699115044247787,0.06135197441808582,0.0,0.0
2021-06-07,0.027475002252049366,0.03242951085487794,0.12007927213764526,0.0,0.0
2021-06-14,0.04177693761814745,0.05387523629489603,0.2007561436672968,0.0,0.0
2021-06-21,0.06065780014378145,0.08060747663551401,0.30005391804457227,0.0,0.0
2021-06-28,0.08277992277992278,0.10687258687258687,0.4151351351351351,0.0,0.0
2021-07-05,0.10265672337450478,0.1231647634584013,0.52342111395945,0.0,0.0
2021-07-12,0.11269247778715877,0.1291360109355526,0.6060386764765007,0.0,0.0
2021-07-19,0.1078507363525634,0.13185140073081608,0.6694441368619201,0.0,0.0
2021-07-26,0.0949225183039346,0.1330185122720689,0.7181888529534316,0.0,0.0
2021-08-02,0.08257138399126229,0.13120611639881416,0.752395069433609,0.0,0.0
2021-08-09,0.07268429396444344,0.12601913713056279,0.7787056958441853,0.0,0.0
2021-08-16,0.062372232612761515,0.1182491699650588,0.8039812680324184,0.0,0.0
2021-08-23,0.05090553843841587,0.110588412113925,0.8268730743217855,0.0,0.0
2021-08-30,0.04118581888933446,0.1043978077797086,0.8449108110918029,0.0,0.0
2021-09-06,0.03451512744602498,0.09838977543504947,0.8591234024117265,0.0,0.0
2021-09-13,0.030053646343424303,0.09135957667626551,0.8712633933139408,0.0,0.0
2021-09-20,0.026321551454488584,0.08346887707225524,0.8836878323428214,0.0,0.0
2021-09-27,0.02214895595570209,0.07513737424972525,0.8975399442049201,0.0,0.0
2021-10-04,0.017953226657288553,0.06666080534552488,0.9110427290311236,0.0,0.0
2021-10-11,0.015055510425128621,0.059030598429461144,0.9216535788428558,0.0,0.0
2021-10-18,0.0132251840473559,0.05335031751681247,0.9290972781597138,0.0,0.0
2021-10-25,0.011888111888111888,0.04902664902664903,0.9347193347193348,0.0,0.0
2021-11-01,0.010606866937037785,0.044409373681023254,0.9402675573009377,0.0,0.0
2021-11-08,0.009541548788416595,0.039238081849971004,0.94552706953206,0.0,0.0
2021-11-15,0.008732638888888889,0.03494791666666667,0.9492708333333333,8.680555555555556e-05,0.0
2021-11-22,0.007628180678908081,0.03162062514756897,0.9528142538004686,0.0010170907571877442,0.0
2021-11-29,0.006165436078108017,0.02839098984295941,0.9526816835950677,0.008320527716352461,0.0
2021-12-06,0.005020406689059847,0.02533680066457182,0.9203055585653916,0.04684508975331383,0.0
2021-12-13,0.004171992614685414,0.021392557875301803,0.8004722340576622,0.1714245135634143,0.0
2021-12-20,0.0030307023323230993,0.015473523709127872,0.5888033431846846,0.3895864314891855,0.0
2021-12-27,0.0018982627291731745,0.009803685993704495,0.38090203522598937,0.6041281207198981,2.4028642141432588e-05
2022-01-03,0.0011665586519766689,0.006048822639879024,0.2403542881831929,0.7495355368330093,4.3205875999135884e-05
