week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.16666666666666666,0.0,0.0,0.0,
2021-05-03,0.16666666666666666,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.25,0.0,
2021-05-24,0.0,0.0,0.7692307692307693,0.0,
2021-05-31,0.0,0.0,0.9714285714285714,0.0,
2021-06-07,0.0,0.0,0.9393939393939394,0.0,
2021-06-14,0.012658227848101266,0.0,0.9240506329113924,0.0,
2021-06-21,0.014925373134328358,0.0,0.9104477611940298,0.0,
2021-06-28,0.0,0.0,0.9166666666666666,0.0,
2021-07-05,0.0,0.0,0.9230769230769231,0.0,
2021-07-12,0.0,0.0,1.0,0.0,
2021-07-19,0.0,0.0,0.875,0.0,
2021-07-26,0.0,0.0,1.0,0.0,
2021-08-02,0.0,0.0,1.0,0.0,
2021-08-09,0.0,0.0,1.0,0.0,
2021-08-16,0.0,0.0,0.8571428571428571,0.0,
2021-08-23,0.0,0.0,1.0,0.0,
2021-08-30,0.0,0.0,1.0,0.0,
2021-09-06,0.0,0.0,1.0,0.0,
2021-09-13,0.0,0.0,1.0,0.0,
2021-09-20,0.0,0.0,1.0,0.0,
2021-09-27,0.0,0.0,0.0,0.0,
2021-10-04,0.0,0.0,1.0,0.0,
2021-10-11,0.0,0.0,1.0,0.0,
2021-10-18,0.0,0.0,1.0,0.0,
2021-10-25,0.0,0.0,1.0,0.0,
2021-11-01,0.0,0.0,0.9090909090909092,0.0,
2021-11-08,0.0,0.0,0.8947368421052633,0.0,
2021-11-15,0.0,0.0,0.8888888888888888,0.0,
2021-11-22,0.0,0.0,0.9333333333333333,0.0,
2021-11-29,0.0,0.0,0.7692307692307693,0.15384615384615385,
2021-12-06,0.0,0.0,0.38461538461538464,0.38461538461538464,
2021-12-13,0.0,0.0,0.3125,0.4375,
