week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,6.243366423175376e-05,0.0,0.0
2021-03-15,0.0,0.0,0.00011896264572924102,0.0,0.0
2021-03-22,0.0,5.906674542232723e-05,0.00011813349084465446,0.0,0.0
2021-03-29,0.0003221234377013272,0.00025769875016106174,0.00025769875016106174,0.0,0.0
2021-04-05,0.0014316392269148174,0.000954426151276545,0.0008748906386701663,0.0,0.0
2021-04-12,0.00490247209763221,0.0030249295921560447,0.0033378533430687388,0.0,0.0
2021-04-19,0.01179718875502008,0.007530120481927711,0.013052208835341365,0.0,0.0
2021-04-26,0.01996468830639685,0.01398886323509439,0.04020100502512563,0.0,0.0
2021-05-03,0.027548594602153545,0.021954971332680744,0.10096490001398406,0.0,0.0
2021-05-10,0.03489490314603654,0.034482758620689655,0.21266657507899436,0.0,0.0
2021-05-17,0.039642726049186346,0.054080508993025814,0.3795423956931359,0.0,0.0
2021-05-24,0.03558385616630771,0.07444517276898586,0.5587601835377844,0.0,0.0
2021-05-31,0.02731832971800434,0.08541214750542299,0.6861442516268981,0.0,0.0
2021-06-07,0.02236313197078639,0.08696144482817189,0.7623280303459209,0.0,0.0
2021-06-14,0.018124551030557552,0.08001326186660772,0.8257722274410123,0.0,0.0
2021-06-21,0.012271162767496383,0.06604479473237891,0.8862672719110092,0.0,0.0
2021-06-28,0.008733087330873308,0.056457564575645755,0.9183681836818368,0.0,0.0
2021-07-05,0.007400828892835998,0.04965956187092954,0.9331705150976909,0.0,0.0
2021-07-12,0.006053497786689872,0.04120161931065794,0.9462752071431274,0.0,0.0
2021-07-19,0.004537238555461286,0.032682872846656094,0.9583902025157697,0.0,0.0
2021-07-26,0.0038098991690478537,0.026997733766873585,0.9654809997700923,0.0,0.0
2021-08-02,0.0033618677042801556,0.023003891050583657,0.9704591439688716,0.0,0.0
2021-08-09,0.0026117876585166305,0.019352402529972623,0.9760848358979201,0.0,0.0
2021-08-16,0.001999812517576477,0.01652970034059307,0.9805643220948036,0.0,0.0
2021-08-23,0.0015745276417074878,0.015045486354093772,0.9827093538605085,0.0,0.0
2021-08-30,0.0012438819934560991,0.013926070144128066,0.9842081068656878,0.0,0.0
2021-09-06,0.0010444136922635055,0.01216741951486984,0.9862659599467349,0.0,0.0
2021-09-13,0.001064713825698556,0.010439389217824868,0.988028461618365,0.0,0.0
2021-09-20,0.0013539903658377815,0.00947793256086447,0.988517120166645,0.0,0.0
2021-09-27,0.001308797738397508,0.008873648666335105,0.9888752192236212,0.0,0.0
2021-10-04,0.000702576112412178,0.0083008066614624,0.9901379130887328,0.0,0.0
2021-10-11,0.000335371359285917,0.007739339060444238,0.9913319402523024,0.0,0.0
2021-10-18,0.0003056779682604376,0.0072853249102070965,0.9919759533331635,0.0,0.0
2021-10-25,0.0003393774847280132,0.007005720934742558,0.9923640065936197,0.0,0.0
2021-11-01,0.0002510269283432223,0.006663623916020082,0.9928571428571429,2.2820629849383842e-05,0.0
2021-11-08,0.0001496301996494378,0.006284468385276389,0.9933735197298106,4.275148561412509e-05,0.0
2021-11-15,0.0001184202735508319,0.005960487102058539,0.9934276748179288,0.0003552608206524957,0.0
2021-11-22,0.00010974539069359087,0.005597014925373134,0.9910374597600234,0.003036289142522681,0.0
2021-11-29,0.00013612155654999915,0.005104558370624968,0.9749706487893689,0.019482397781218627,0.0
2021-12-06,0.00014489720348397276,0.004395215172347174,0.9069437959847375,0.08804920065042744,0.0
2021-12-13,0.00011242270938729624,0.003324500120452903,0.7395487031237453,0.25619529430659277,1.6060387055328034e-05
2021-12-20,7.251500154094378e-05,0.002247965047769257,0.5059009082503944,0.4906183716756404,3.625750077047189e-05
2021-12-27,7.120985544399345e-05,0.0012105675425478886,0.2770538109140972,0.7204063709084004,0.00011868309240665575
2022-01-03,3.4073872154831676e-05,0.0004770342101676435,0.11905410930898187,0.8791740493389669,0.0003066648493934851
